"DATASET","SERIES_CODE","OBS_MEASURE","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:ESG_FINANCE(2.0.3)","FRA.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","0.921071956","11.80320244","9.714152563","7.148011409","3.10318235"
"IMF.STA:ESG_FINANCE(2.0.3)","CIV.SSBI_USD.A","OBS_VALUE","","","","","","","","","","","","0.043729903","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","MAR.GBI_USD.A","OBS_VALUE","","","","","","","","0.013378257","","","","","0.104316056","",""
"IMF.STA:ESG_FINANCE(2.0.3)","FRA.GBI_USD.A","OBS_VALUE","","","0.599701466","2.002067165","5.563596238","8.275608843","5.119763873","51.69713524","10.49436602","28.52207488","29.10483316","56.06808641","30.33147418","31.35540105","36.0352889"
"IMF.STA:ESG_FINANCE(2.0.3)","UZB.SSSBI_USD.A","OBS_VALUE","","","","","","","","","","","","0.387236678","","","1.254954454"
"IMF.STA:ESG_FINANCE(2.0.3)","LTU.GBI_USD.A","OBS_VALUE","","","","","","","","0.313738613","0.384852698","","","0.036602838","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","PHL.SUBI_USD.A","OBS_VALUE","","","","","","","","","","0.872398912","0.905015227","0.306505162","3.378305893","1.258897023","4.275549861"
"IMF.STA:ESG_FINANCE(2.0.3)","JPN.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","0.133967444","0.736820947","2.773050013","3.892634298","3.307123501"
"IMF.STA:ESG_FINANCE(2.0.3)","BEN.SSBI_USD.A","OBS_VALUE","","","","","","","","","","","0.638880438","","0.375239168","",""
"IMF.STA:ESG_FINANCE(2.0.3)","MUS.GBI_USD.A","OBS_VALUE","","","","","","","1","1.95","","2.770202","0.65","6.042","2.3","1.05",""
"IMF.STA:ESG_FINANCE(2.0.3)","NOR.GBI_USD.A","OBS_VALUE","0.132114809","0.02581152","","1","0.327977456","2.30640757","1.194603009","0.748014914","3.176212296","5.345785172","6.33040032","13.22531286","16.0693334","15.10337145","13.20231337"
"IMF.STA:ESG_FINANCE(2.0.3)","NZL.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","","","0.057400009","",""
"IMF.STA:ESG_FINANCE(2.0.3)","ESP.SBI_USD.A","OBS_VALUE","","","","","","2.08399058","0.569295778","0.565043769","0.5190976","1.568195375","2.665251745","2.617790843","2.091590757","1.568693068","1.830141913"
"IMF.STA:ESG_FINANCE(2.0.3)","MEX.GBI_USD.A","OBS_VALUE","","","","","","1","4.230955771","8.755885084","0.388703865","0.122687343","1.689266591","0.493811855","0.575256823","2.73795991","1.743356388"
"IMF.STA:ESG_FINANCE(2.0.3)","IND.SBI_USD.A","OBS_VALUE","","","","","","","","","","","1","1.45","0.991083227","0.120204249","3.2"
"IMF.STA:ESG_FINANCE(2.0.3)","NZL.SGBIC_USD.A","OBS_VALUE","","","","","","","","","","","","","5.366900858","",""
"IMF.STA:ESG_FINANCE(2.0.3)","FIN.SBI_USD.A","OBS_VALUE","","","","","","","","","","","3.833420044","1.200544947","0.724637681","0.1","0.337265636"
"IMF.STA:ESG_FINANCE(2.0.3)","CHN.SUBI_USD.A","OBS_VALUE","","","","","","","","","","","9.5498444","11.4603889","10.42385965","9.409687548","16.46598157"
"IMF.STA:ESG_FINANCE(2.0.3)","JEY.SUBI_USD.A","OBS_VALUE","","","","","","","","","","","1.5","0.149030204","0.12","0.227192928",""
"IMF.STA:ESG_FINANCE(2.0.3)","NLD.SGBIC_USD.A","OBS_VALUE","","","","","","","","","","16.40891645","","","","9.676695495",""
"IMF.STA:ESG_FINANCE(2.0.3)","KAZ.GBI_USD.A","OBS_VALUE","","","","","","","","","","","","0.037576141","0.069219207","0.005933074",""
"IMF.STA:ESG_FINANCE(2.0.3)","KOR.SBI_USD.A","OBS_VALUE","","","","","","","","","1.350345497","2.249332068","11.56370448","22.84661149","25.6675335","32.5712251","31.34169741"
"IMF.STA:ESG_FINANCE(2.0.3)","ISL.SGBIC_USD.A","OBS_VALUE","","","","","","","","","","","","","","","0.784346534"
"IMF.STA:ESG_FINANCE(2.0.3)","CHN.SGBIC_USD.A","OBS_VALUE","","","","","","","","","","2.788229618","","","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","MLT.GBI_USD.A","OBS_VALUE","","","","","","","","","","","","","","0.026144884",""
"IMF.STA:ESG_FINANCE(2.0.3)","LAO.GBI_USD.A","OBS_VALUE","","","","","","","","","","","","","0.250372799","0.104415273",""
"IMF.STA:ESG_FINANCE(2.0.3)","G001.SULBOI_USD.A","OBS_VALUE","","","","","","","","","","5.723806267","16.23354709","144.0721362","237.002986","302.3433646","344.655242"
"IMF.STA:ESG_FINANCE(2.0.3)","POL.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","0.251787692","0.251787692","","0.878739047",""
"IMF.STA:ESG_FINANCE(2.0.3)","FIN.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","","","0.643164157","1.254954451","0.062747722"
"IMF.STA:ESG_FINANCE(2.0.3)","NER.SSBI_USD.A","OBS_VALUE","","","","","","","","","","","0.352264902","0.782675322","0.488790921","",""
"IMF.STA:ESG_FINANCE(2.0.3)","POL.GBI_USD.A","OBS_VALUE","","","","","","","0.784346534","","1.045795379","2.310704305","0.248416345","1.225274034","0.522897689","1.485628008","2.541881328"
"IMF.STA:ESG_FINANCE(2.0.3)","CHL.SUBI_USD.A","OBS_VALUE","","","","","","","","","0.061296","2.04105224","","6.942373592","5.061244415","0.531372946",""
"IMF.STA:ESG_FINANCE(2.0.3)","SEN.SSBI_USD.A","OBS_VALUE","","","","","","","","","","","0.495396537","0.690287614","1.186265421","",""
"IMF.STA:ESG_FINANCE(2.0.3)","DEU.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","","4.145348022","2.039300988","2.562859156","6.083181512"
"IMF.STA:ESG_FINANCE(2.0.3)","RUS.SUBI_USD.A","OBS_VALUE","","","","","","","","","","","","","","0.033900028",""
"IMF.STA:ESG_FINANCE(2.0.3)","COL.SUBI_USD.A","OBS_VALUE","","","","","","","","","","0.095468286","","","","0.8","0.069204169"
"IMF.STA:ESG_FINANCE(2.0.3)","ARE.SBI_USD.A","OBS_VALUE","","","","","","","","","","","","","","","0.6"
"IMF.STA:ESG_FINANCE(2.0.3)","COL.SBI_USD.A","OBS_VALUE","","","","","","","","","","","","0.707830111","0.145458351","3.945776843","0.008437563"
"IMF.STA:ESG_FINANCE(2.0.3)","HKG.SBI_USD.A","OBS_VALUE","","","","","","","","","0.385847127","","0.385514919","","1.440929629","2.562375565","3.556484429"
"IMF.STA:ESG_FINANCE(2.0.3)","AUT.SBI_USD.A","OBS_VALUE","","","","","","","","0.31971329","","","0.000136315","0.522897689","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","TUR.SBI_USD.A","OBS_VALUE","","","","","","","","","0.075","","","","0.02","0.335434062","0.057"
"IMF.STA:ESG_FINANCE(2.0.3)","GEO.GBI_USD.A","OBS_VALUE","","","","","","","","","","","0.5","1","","","0.6"
"IMF.STA:ESG_FINANCE(2.0.3)","CHL.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","","1","2","8.921128524",""
"IMF.STA:ESG_FINANCE(2.0.3)","PRT.GBI_USD.A","OBS_VALUE","","","","","","","","","","1.157138365","1.568693068","2.196170294","0.993505608","1.830141913","2.300749832"
"IMF.STA:ESG_FINANCE(2.0.3)","VGB.GBI_USD.A","OBS_VALUE","","","0.276590742","","","","0.4","0.5","2.605933627","1.463517927","1.423659618","5.580390519","3.271669278","1.32793829","2.641617528"
"IMF.STA:ESG_FINANCE(2.0.3)","TGO.SUBI_USD.A","OBS_VALUE","","","","","","","","","","","","2.268693068","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","DEU.SUBI_USD.A","OBS_VALUE","","","","","0.314911037","0.784346534","1.665830207","1.908576567","2.117735643","8.517623355","3.100783299","4.764405711","3.660283828","2.98051683","1.307244224"
"IMF.STA:ESG_FINANCE(2.0.3)","AUS.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","","2.632543428","0.095325249","0.228823575",""
"IMF.STA:ESG_FINANCE(2.0.3)","BRA.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","","2.319555912","1.923013339","0.302928297",""
"IMF.STA:ESG_FINANCE(2.0.3)","CRI.SUBI_USD.A","OBS_VALUE","","","","","","","","","","","","0.01","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","AUT.GBI_USD.A","OBS_VALUE","","","","","0.529190126","0.015957791","1.413826459","1.521003167","0.541771003","2.223137881","1.641511203","2.670297089","11.8784339","17.00470106","13.38602363"
"IMF.STA:ESG_FINANCE(2.0.3)","PRT.SUBI_USD.A","OBS_VALUE","","","","","","","","","","","","0.522897689","0.073205676","",""
