"Economy","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Canada","$3.66538e+009","$3.36496e+009","$3.53035e+009","$2.76602e+009","$2.78203e+009","$2.6219e+009","$3.01503e+009","$4.16606e+009","$4.34648e+009","$4.01477e+009","$4.94295e+009","$5.13806e+009","$4.15414e+009","$3.71429e+009","$4.38462e+009","$4.62136e+009","$6.08271e+009","$7.2619e+009","$1.12461e+010","$6.99851e+009","$8.15405e+009","$9.66115e+009","$9.67786e+009","$8.91262e+009","$1.32459e+010","$1.0437e+010","$8.72453e+009","$9.2931e+009","$9.53838e+009","$8.92829e+009","$8.47405e+009","$1.05034e+010","$1.05935e+010","$9.8777e+009","$1.02238e+010","-"
"Cayman Islands","-","-","-","-","$1.29365e+007","$1.59601e+007","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","$4.74622e+007","$3.44454e+007","$2.2398e+007","$3.07988e+007","$2.11854e+007","-","-","-","-","-","-","-","-"
"Central African Rep.","-","$4.56916e+006","$6.59806e+006","$1.17249e+007","$1.33472e+006","$1.17143e+006","$84695.5","$2.85778e+006","$82966.4","$97450.1","$102531","$122776","$114779","-","-","-","-","-","-","-","$2.70735e+007","-","-","-","$6.90126e+006","$5.67737e+006","$8.16358e+007","$1.10007e+007","$2.5542e+007","$1.10483e+007","-","-","-","-","-","-"
"Chad","$6.67936e+006","$9.61128e+006","$6.7423e+006","$9.67813e+006","$4.2778e+006","$8.4704e+006","$1.36839e+007","$1.89491e+006","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","$8.7579e+007","$2.6322e+007","$3.18203e+007","$2.05261e+007","$3.84032e+007","$3.75595e+007","$4.69951e+007","$7.57052e+007","$5.89735e+007","$2.55371e+008","-"
"Chile","$4.02115e+008","$3.21675e+008","$4.11999e+008","$5.17504e+008","$3.61823e+008","$6.53641e+008","$8.19441e+008","$9.26496e+008","$1.04436e+009","$1.00553e+009","$1.1168e+009","$8.27721e+008","$5.62261e+008","$3.49159e+008","-","-","$1.19807e+009","$1.39318e+009","$1.75395e+009","$1.38743e+009","$1.91981e+009","$2.41488e+009","$2.46261e+009","$2.07623e+009","$1.85888e+009","$1.47337e+009","$1.42749e+009","$1.54439e+009","$1.65922e+009","$1.49248e+009","$1.26639e+009","$1.79243e+009","$1.59651e+009","$1.38138e+009","$1.04153e+009","-"
"China","$1.25021e+009","$1.61739e+009","$2.94672e+009","$7.01493e+009","$7.92115e+009","$1.19165e+010","$1.09605e+010","$1.27376e+010","$1.81271e+010","$1.93868e+010","$2.68576e+010","$3.08359e+010","$2.504e+010","$2.67825e+010","$2.65592e+010","$2.56005e+010","$2.77669e+010","$2.644e+010","$3.31569e+010","$3.54679e+010","$4.72171e+010","$5.15574e+010","$5.72496e+010","-","$6.49938e+010","$7.27232e+010","$6.6256e+010","$4.8548e+010","$4.95174e+010","$5.29001e+010","$5.92047e+010","$6.31723e+010","$6.22153e+010","$5.91313e+010","$5.36019e+010","-"
"Colombia","$2.11047e+008","$3.33131e+008","$1.3443e+008","$3.62721e+008","$5.27072e+008","$6.16545e+008","$5.76715e+008","$1.63543e+009","$1.12546e+009","$1.65166e+009","$1.45368e+009","$1.53025e+009","-","-","-","-","-","-","$1.76347e+009","$1.73751e+009","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Comoros","$3.67291e+006","-","$959613","$868767","-","$1.58137e+006","-","-","-","-","-","$2.20161e+006","$462469","$2.34867e+006","$3.37304e+006","$3.91743e+006","$1.94283e+006","$3.02687e+006","$2.06103e+006","$3.86147e+006","-","-","-","-","-","$9.97432e+006","$4.31569e+006","$1.24496e+007","$4.69096e+007","$5.68967e+007","-","$2.01945e+006","$1.79801e+006","$1.84619e+006","-","-"
"Congo (Rep. of the)","$1.48388e+006","$1.91063e+006","$1.05897e+006","$257776","$11458.7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","$1.83949e+008","$7.38215e+007","$1.08329e+008","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Costa Rica","$3.31954e+007","$3.46565e+007","$6.32295e+007","$6.60055e+007","$9.16679e+007","$1.02465e+008","$1.15601e+008","$1.46846e+008","$1.54489e+008","$1.39098e+008","$1.18609e+008","$2.33062e+008","$2.49105e+008","$2.66974e+008","$1.69098e+008","-","$1.44294e+008","$3.05323e+008","$3.04883e+008","$2.53557e+008","$2.7855e+008","$8.70177e+008","$9.9724e+008","$4.25937e+008","$4.54987e+008","$4.75199e+008","$3.69317e+008","$5.27945e+008","$2.97705e+008","$3.56888e+008","$1.38475e+008","$3.42364e+008","$2.2222e+008","$2.48826e+008","$2.53205e+008","-"
